GENDER|OWNER AGE|CITY|IDEOLOGY|TENANT|TENANT AGE|TENANT WORK
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Less 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Less 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Less 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Over 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Over 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Sara Esposito|Over 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Less 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Less 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Less 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Over 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Over 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Maria Ionescu|Over 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Less 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Less 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Less 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Over 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Over 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Fatima El-Khayari|Over 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Less 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Less 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Less 35|A college student
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Over 35|A Teacher
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Over 35|A Caregiver
MALE|Less than 60|MILAN;BRERA|FAR RIGHT|Wang Mei|Over 35|A college student
