GENDER|OWNER AGE|CITY|IDEOLOGY|TENANT|TENANT AGE|TENANT WORK
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Li Wei|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Li Wei|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Li Wei|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Mamadou Diop|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|FAR LEFT|Thomas Muller|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Giovanni Rossi|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Andrei Popescu|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mohamed Benhida|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Li Wei|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Mamadou Diop|Over 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Less 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Less 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Less 35|a College student
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Over 35|an Engineer
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Over 35|a Construction Worker
MALE|Less than 60|ROMA;SAN LORENZO|NOT DEFINED OR INTERESTED IN|Thomas Muller|Over 35|a College student
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Less 35|an Engineer
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Less 35|a Construction Worker
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Less 35|a College student
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Over 35|an Engineer
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Over 35|a Construction Worker
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Giovanni Rossi|Over 35|a College student
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Less 35|an Engineer
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Less 35|a Construction Worker
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Less 35|a College student
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Over 35|an Engineer
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Over 35|a Construction Worker
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Andrei Popescu|Over 35|a College student
MALE|Less than 60|NAPLES;POSILIPPO|FAR RIGHT|Mohamed Benhida|Less 35|an Engineer
